index,title,price,image_url,product_url,product_type,tags
1,Test product,499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/6f0aebd0-4326-4c5f-95de-5cb6285b588b1707822150581-WROGN-Men-Tshirts-4691707822150047-1.jpg?v=1719914278,https://wrogn.com/products/test-product,T-Shirts,"All, AW23, Cotton, Disc, New Arrival, NewArrival Topwear, Pink, Printed, Round Neck, Short Sleeves, Slim Fit, Stay Wrogn, T-Shirts, Topwear, WRTS1673M"
2,Test product,499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/6f0aebd0-4326-4c5f-95de-5cb6285b588b1707822150581-WROGN-Men-Tshirts-4691707822150047-1.jpg?v=1719914278,https://wrogn.com/products/test-product,T-Shirts,"All, AW23, Cotton, Disc, New Arrival, NewArrival Topwear, Pink, Printed, Round Neck, Short Sleeves, Slim Fit, Stay Wrogn, T-Shirts, Topwear, WRTS1673M"
3,Test product,499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/6f0aebd0-4326-4c5f-95de-5cb6285b588b1707822150581-WROGN-Men-Tshirts-4691707822150047-1.jpg?v=1719914278,https://wrogn.com/products/test-product,T-Shirts,"All, AW23, Cotton, Disc, New Arrival, NewArrival Topwear, Pink, Printed, Round Neck, Short Sleeves, Slim Fit, Stay Wrogn, T-Shirts, Topwear, WRTS1673M"
4,Test product,499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/6f0aebd0-4326-4c5f-95de-5cb6285b588b1707822150581-WROGN-Men-Tshirts-4691707822150047-1.jpg?v=1719914278,https://wrogn.com/products/test-product,T-Shirts,"All, AW23, Cotton, Disc, New Arrival, NewArrival Topwear, Pink, Printed, Round Neck, Short Sleeves, Slim Fit, Stay Wrogn, T-Shirts, Topwear, WRTS1673M"
5,Test product,499.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/6f0aebd0-4326-4c5f-95de-5cb6285b588b1707822150581-WROGN-Men-Tshirts-4691707822150047-1.jpg?v=1719914278,https://wrogn.com/products/test-product,T-Shirts,"All, AW23, Cotton, Disc, New Arrival, NewArrival Topwear, Pink, Printed, Round Neck, Short Sleeves, Slim Fit, Stay Wrogn, T-Shirts, Topwear, WRTS1673M"
6,Charcoal Grey Chest Printed T-Shirt,999.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_f900a00c-ad95-417b-8e1b-f647e4d7f756.jpg?v=1721618416,https://wrogn.com/products/charcoal-grey-chest-printed-t-shirt,T-Shirts,"All, AW24, Charcoal, Comfort Fit, Cotton, NewArrival, NSM, Round Neck, Short Sleeves, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1270S"
7,Charcoal Grey Chest Printed T-Shirt,999.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_f900a00c-ad95-417b-8e1b-f647e4d7f756.jpg?v=1721618416,https://wrogn.com/products/charcoal-grey-chest-printed-t-shirt,T-Shirts,"All, AW24, Charcoal, Comfort Fit, Cotton, NewArrival, NSM, Round Neck, Short Sleeves, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1270S"
8,Charcoal Grey Chest Printed T-Shirt,999.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_f900a00c-ad95-417b-8e1b-f647e4d7f756.jpg?v=1721618416,https://wrogn.com/products/charcoal-grey-chest-printed-t-shirt,T-Shirts,"All, AW24, Charcoal, Comfort Fit, Cotton, NewArrival, NSM, Round Neck, Short Sleeves, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1270S"
9,Charcoal Grey Chest Printed T-Shirt,999.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_f900a00c-ad95-417b-8e1b-f647e4d7f756.jpg?v=1721618416,https://wrogn.com/products/charcoal-grey-chest-printed-t-shirt,T-Shirts,"All, AW24, Charcoal, Comfort Fit, Cotton, NewArrival, NSM, Round Neck, Short Sleeves, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1270S"
10,Charcoal Grey Chest Printed T-Shirt,999.00,https://cdn.shopify.com/s/files/1/0818/0305/1309/files/1_f900a00c-ad95-417b-8e1b-f647e4d7f756.jpg?v=1721618416,https://wrogn.com/products/charcoal-grey-chest-printed-t-shirt,T-Shirts,"All, AW24, Charcoal, Comfort Fit, Cotton, NewArrival, NSM, Round Neck, Short Sleeves, Solid, Stay Wrogn, STR, T-Shirts, Topwear, Topwear New Arrival, WTTS1270S"
